"","Taxa","Locality","Count","Rank","Unit","abndance","taxa"
"324",".Bovidae","P36.U1",37,12,"U1",1,"Bovi"
"325",".Primate","P38.U1",0,1,"U1",0.0833333333333333,"Prim"
"326",".Cetacea","P38.U1",0,2,"U1",0.166666666666667,"Ceta"
"327",".Sirenia","P38.U1",0,3,"U1",0.25,"Sire"
"328",".Proboscidea","P38.U1",0,4,"U1",0.333333333333333,"Prob"
"329",".Suidae","P38.U1",0,5,"U1",0.416666666666667,"Suid"
"330",".Carnivors","P38.U1",1,6,"U1",0.5,"Carn"
"331",".Equidae","P38.U1",1,7,"U1",0.583333333333333,"Equi"
"332",".Rhinocerotidae","P38.U1",1,8,"U1",0.666666666666667,"Rhin"
"333",".Giraffidae","P38.U1",1,9,"U1",0.75,"Gira"
"334",".Anthracotheriidae","P38.U1",2,10,"U1",0.833333333333333,"Anth"
"335",".Hippopotamidae","P38.U1",3,11,"U1",0.916666666666667,"Hipp"
"336",".Bovidae","P38.U1",11,12,"U1",1,"Bovi"
"337",".Rhinocerotidae","P4.U2",0,1,"U2",0.0833333333333333,"Rhin"
"338",".Giraffidae","P4.U2",0,2,"U2",0.166666666666667,"Gira"
"339",".Proboscidea","P4.U2",1,3,"U2",0.25,"Prob"
"340",".Hippopotamidae","P4.U2",1,4,"U2",0.333333333333333,"Hipp"
"341",".Equidae","P4.U2",2,5,"U2",0.416666666666667,"Equi"
"342",".Bovidae","P4.U2",2,6,"U2",0.5,"Bovi"
"343",".Primate","P4.U2",3,7,"U2",0.583333333333333,"Prim"
"344",".Sirenia","P4.U2",3,8,"U2",0.666666666666667,"Sire"
"345",".Carnivors","P4.U2",5,9,"U2",0.75,"Carn"
"346",".Anthracotheriidae","P4.U2",5,10,"U2",0.833333333333333,"Anth"
"347",".Cetacea","P4.U2",9,11,"U2",0.916666666666667,"Ceta"
"348",".Suidae","P4.U2",29,12,"U2",1,"Suid"
"349",".Primate","P47.U1",0,1,"U1",0.0833333333333333,"Prim"
"350",".Cetacea","P47.U1",0,2,"U1",0.166666666666667,"Ceta"
"351",".Sirenia","P47.U1",0,3,"U1",0.25,"Sire"
"352",".Proboscidea","P47.U1",0,4,"U1",0.333333333333333,"Prob"
"353",".Equidae","P47.U1",0,5,"U1",0.416666666666667,"Equi"
"354",".Rhinocerotidae","P47.U1",0,6,"U1",0.5,"Rhin"
"355",".Hippopotamidae","P47.U1",0,7,"U1",0.583333333333333,"Hipp"
"356",".Giraffidae","P47.U1",0,8,"U1",0.666666666666667,"Gira"
"357",".Carnivors","P47.U1",1,9,"U1",0.75,"Carn"
